rank	ligand	target	score_kcal_mol	cluster	cluster_rep	murcko_scaffold	nn_tanimoto
39	CHEMBL330687	B7P5E9	-12.5	12	Yes	CC(CCCC1CCC(C2CCCCC2)CC1)C1CCCC1C(C)(C)C1CCCCC1	0.387
40	CHEMBL90652	B7P5E9	-12.5	0	No	CC1CCC(C(C)CCCCC2CCC(C3CCCCC3)CC2)C(C2CCCCC2)C1	0.747
41	CHEMBL91489	B7P5E9	-12.5	11	Yes	CC(CCC1CCCCC1)CC1CCC(CC(C)CC2CCCCC2)C(C(C)C2CCCCC2)C1	0.204
42	CHEMBL9203	B7P5E9	-12.5	1	No	CC(CCC1CC2CCCCC2C(C)C1C1CCCCC1)CC1CCCCC1	0.776
43	CHEMBL9311	B7P5E9	-12.5	1	No	CC(CCC1CC2CCCCC2C(C)C1C1CCCCC1)CC1CCCCC1	0.869
44	CHEMBL94109	B7P5E9	-12.5	10	Yes	CC(CC1CCC2CCCC(CC3CCCCC3)C2C1)CCCC1CCC(C2CCCCC2)CC1	0.216
45	CHEMBL6323	B7PY20	-12.5	9	Yes	CC(C1CCC(C2CCC3CCCCC3C2)CC1)C1CCC2CCCCC2C1	0.264
46	CHEMBL91574	B7PY20	-12.5	4	No	CC(CCC1CCC(CCC(C)C2CCCCC2C2CCCCC2)CC1)C1CCCCC1	1.0
47	CHEMBL91574	Q6XR73	-12.5	4	No	CC(CCC1CCC(CCC(C)C2CCCCC2C2CCCCC2)CC1)C1CCCCC1	1.0
48	CHEMBL313746	B7P5E9	-12.4	3	No	CC1CC2CC(C3CCCCC3)CCC2C1CC1CC2CCCCC2C1	0.571
49	CHEMBL313821	B7P5E9	-12.4	3	No	CC1CC2CC(C3CCCCC3)CCC2C1CC1CC2CCCCC2C1	0.788
